unit=07	section_index=06	section=word-formation	heading=Word formation	start_line=347	end_line=365	line_count=19	source=sources\destination-c1-c2\units\unit-07.txt	file=sources\destination-c1-c2\sections\unit-07-s06-word-formation.txt
unit=08	section_index=01	section=topic-vocabulary:Movement	heading=Topic vocabulary: Movement	start_line=6	end_line=85	line_count=80	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s01-topic-vocabulary-movement.txt
unit=08	section_index=02	section=topic-vocabulary:Transport	heading=Topic vocabulary: Transport	start_line=86	end_line=131	line_count=46	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s02-topic-vocabulary-transport.txt
unit=08	section_index=03	section=phrasal-verbs	heading=Phrasal verbs	start_line=132	end_line=177	line_count=46	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s03-phrasal-verbs.txt
unit=08	section_index=04	section=phrases-patterns-collocations	heading=Phrases, patterns and collocations	start_line=178	end_line=258	line_count=81	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s04-phrases-patterns-collocations.txt
unit=08	section_index=05	section=idioms	heading=Idioms	start_line=259	end_line=281	line_count=23	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s05-idioms.txt
unit=08	section_index=06	section=word-formation	heading=Word formation	start_line=282	end_line=334	line_count=53	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s06-word-formation.txt
unit=08	section_index=07	section=review	heading=REVIEW	start_line=335	end_line=434	line_count=100	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s07-review.txt
unit=08	section_index=08	section=grammar	heading=Grammar	start_line=435	end_line=568	line_count=134	source=sources\destination-c1-c2\units\unit-08.txt	file=sources\destination-c1-c2\sections\unit-08-s08-grammar.txt
unit=09	section_index=01	section=topic-vocabulary:Communication see page 230 for definitions	heading=Topic vocabulary: Communication see page 230 for definitions	start_line=246	end_line=258	line_count=13	source=sources\destination-c1-c2\units\unit-09.txt	file=sources\destination-c1-c2\sections\unit-09-s01-topic-vocabulary-communication-see-page-230-for-definitions.txt
unit=09	section_index=02	section=topic-vocabulary:The media see page 231 for definitions	heading=Topic vocabulary: The media see page 231 for definitions	start_line=259	end_line=266	line_count=8	source=sources\destination-c1-c2\units\unit-09.txt	file=sources\destination-c1-c2\sections\unit-09-s02-topic-vocabulary-the-media-see-page-231-for-definitions.txt
unit=09	section_index=03	section=phrasal-verbs	heading=Phrasal verbs	start_line=267	end_line=290	line_count=24	source=sources\destination-c1-c2\units\unit-09.txt	file=sources\destination-c1-c2\sections\unit-09-s03-phrasal-verbs.txt
unit=09	section_index=04	section=phrases-patterns-collocations	heading=Phrases, patterns and collocations	start_line=291	end_line=330	line_count=40	source=sources\destination-c1-c2\units\unit-09.txt	file=sources\destination-c1-c2\sections\unit-09-s04-phrases-patterns-collocations.txt
unit=09	section_index=05	section=idioms	heading=Idioms	start_line=331	end_line=348	line_count=18	source=sources\destination-c1-c2\units\unit-09.txt	file=sources\destination-c1-c2\sections\unit-09-s05-idioms.txt
unit=09	section_index=06	section=word-formation	heading=Word formation	start_line=349	end_line=379	line_count=31	source=sources\destination-c1-c2\units\unit-09.txt	file=sources\destination-c1-c2\sections\unit-09-s06-word-formation.txt
unit=10	section_index=01	section=topic-vocabulary:Communication	heading=Topic vocabulary: Communication	start_line=5	end_line=78	line_count=74	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s01-topic-vocabulary-communication.txt
unit=10	section_index=02	section=topic-vocabulary:The media	heading=Topic vocabulary: The media	start_line=79	end_line=122	line_count=44	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s02-topic-vocabulary-the-media.txt
unit=10	section_index=03	section=phrasal-verbs	heading=Phrasal verbs	start_line=123	end_line=175	line_count=53	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s03-phrasal-verbs.txt
unit=10	section_index=04	section=phrases-patterns-collocations	heading=Phrases, patterns and collocations	start_line=176	end_line=242	line_count=67	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s04-phrases-patterns-collocations.txt
unit=10	section_index=05	section=idioms	heading=Idioms	start_line=243	end_line=262	line_count=20	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s05-idioms.txt
unit=10	section_index=06	section=word-formation	heading=Word formation	start_line=263	end_line=332	line_count=70	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s06-word-formation.txt
unit=10	section_index=07	section=review	heading=REVIEW	start_line=333	end_line=441	line_count=109	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s07-review.txt
unit=10	section_index=08	section=grammar	heading=Grammar	start_line=442	end_line=567	line_count=126	source=sources\destination-c1-c2\units\unit-10.txt	file=sources\destination-c1-c2\sections\unit-10-s08-grammar.txt
unit=11	section_index=01	section=vocabulary	heading=Vocabulary	start_line=222	end_line=229	line_count=8	source=sources\destination-c1-c2\units\unit-11.txt	file=sources\destination-c1-c2\sections\unit-11-s01-vocabulary.txt
unit=11	section_index=02	section=topic-vocabulary:Chance see page 232 for definitions	heading=Topic vocabulary: Chance see page 232 for definitions	start_line=230	end_line=242	line_count=13	source=sources\destination-c1-c2\units\unit-11.txt	file=sources\destination-c1-c2\sections\unit-11-s02-topic-vocabulary-chance-see-page-232-for-definitions.txt
